ID,NAME,DESCRIPTION,DOMAIN,LEVEL,PARENT
1.Sales Commission ABE,Sales Commission ABE,.\doc\Figure SC.01 Sales Commission overview.docx,Market Sales Domain,1,1.Market Sales Domain
3.Customer Domain,Customer Domain,"顧客のドメインは、締約国（個人/組織など）が行った役割、情報、および活動を表しています（例：個人/組織）、顧客との連絡先とすべての種類の連絡先に関与している役割を果たす、顧客との連絡先、使用、支払い、および商品やサービスで支えられています。彼らが企業から入手する（すなわち製品）。アクティビティは次のとおりです。準備のための戦略（顧客戦略、能力、顧客ライフサイクル管理）および操作（例えば、顧客関係管理、データ、プライバシー、相互作用、通信、注文、口座、残高、サービスレベル契約（SLA）、訓練、問題、ケース、請求書、支払い、紛争、コレクション、ロイヤルティ、パフォーマンス、使用状況統計、分析およびサポート）。
ノート：
SID 17.0の顧客ドメインでいくつかの変更が行われました。これらの変更は、既存の顧客ドメインABEと同等のパーティドメインABE属性とエンティティを使用している属性とエンティティの削除を目的としています。顧客ドメインABESのエンティティ/属性への適合は、パーティドメインABESのエンティティ/属性へのマッピングを含める必要があります。これらは顧客ガイド帳簿に示されています。過去の適合性は影響を受けませんが、過去の適合性は一部の顧客ドメインABESのエンティティ/属性が同等のパーティドメインABEのエンティティ/属性に置き換えられていることに注意してください。たとえば、顧客のクレジットプロファイルエンティティは、同等のパーティのクレジットプロファイルエンティティへの参照に置き換えられました。",Customer Domain,0,top
3.Applied Customer Billing Rate ABE,Applied Customer Billing Rate ABE,適用された顧客請求率ABEは、その後の評価のための関連する使用法の相関関係、使用法（規制および非規制の両方）、使用法、および定格使用による税金の税金を扱います。,Customer Domain,1,3.Customer Domain
3.Applied Customer Billing Rate Spec ABE,Applied Customer Billing Rate Spec ABE,適用された顧客請求レートスペックABEは、AppliedCustomerBillingRateエンティティの詳細な説明です。,Customer Domain,2,3.Applied Customer Billing Rate ABE
3.Customer Bill ABE,Customer Bill ABE,顧客請求ABEは、リアルタイムおよび非リアルタイムコール詳細レコード（CDR）およびその他の請求書のソースを処理しています。顧客Bill ABEは、請求書の形式を表し、請求書の生産、顧客請求プロファイル、請求書の合計（評価と格付割引を除く）、および請求書へのクレジットおよび調整を行うために必要なすべての財務計算を表します。,Customer Domain,1,3.Customer Domain
3.Customer Billing Statistic ABE,Customer Billing Statistic ABE,顧客請求統計ABEは、カスタマービルから派生した収集されたデータを表します。,Customer Domain,2,3.Customer Bill ABE
3.Customer Bill Collection ABE,Customer Bill Collection ABE,顧客Bill Collection ABEは、信用違反、期限切れの借金、および施設課金監査の行動を処理します。,Customer Domain,1,3.Customer Domain
3.Customer Payment ABE,Customer Payment ABE,顧客支払いABEは、製品の製品または使用状況のための顧客からの富の譲渡を表しています。,Customer Domain,2,3.Customer Bill Collection ABE
3.Dunning ABE,Dunning ABE,督促ABEは、期限切れの支払いのために顧客から支払いを集める試みを表しています。,Customer Domain,2,3.Customer Bill Collection ABE
3.Customer Bill Inquiry ABE,Customer Bill Inquiry ABE,顧客に送信された請求書に関連する請求書のお問い合わせを表し、個々の料金、請求書、および口座に関する紛争と調整を処理します。,Customer Domain,1,3.Customer Domain
3.Customer Billing Account ABE,Customer Billing Account ABE,アカウントとその残高情報を管理するために使用されます。バランス（または残高）は、通常は、通常は一部の金額、通常は集約を表します。これは、サービスプロバイダーとアカウント保有者（通常は顧客）の間の責任（多くの場合）の側面を示しています。この金額は、金額、または非貨幣性（自由分など）でもかまいません（無料の議事録や忠誠店のポイントなど）、CSPが顧客に保持するクレジット（たとえば、プリペイドバランスなど）または顧客がCSPを負っていると債務を表すことができます。 （Post-Payed A / Rバランスの通常の場合です）。特にチャリリングドメインで顧客の支払いやその他のABESとしっかりと関連しています。プリペイドケースと後払いの両方の事件に適用可能な統合モデルをサポートすることを目的としています。,Customer Domain,1,3.Customer Domain
3.Customer Billing Credit ABE,Customer Billing Credit ABE,クレジットを追跡します。,Customer Domain,2,3.Customer Billing Account ABE
3.Customer Interaction ABE,Customer Interaction ABE,顧客の対話ABEは、顧客との通信、および顧客の命令の作成、顧客の請求書の照会の作成、または顧客の問題の作成など、適切な「イベント」への顧客要求の翻訳を表しています。,Customer Domain,1,3.Customer Domain
3.Customer Party Roles ABE,Customer Party Roles ABE,カスタマパーティの役割ABEは、顧客に関連するすべてのパーティロールに焦点を当てています。,Customer Domain,1,3.Customer Domain
3.Customer Problem ABE,Customer Problem ABE,顧客の問題ABEは、顧客のための技術支援と問題処理に焦点を当てています。,Customer Domain,1,3.Customer Domain
3.Customer Product Order ABE,Customer Product Order ABE,"顧客製品注文ABEは、単一の顧客製品の注文とその様々なタイプを調整し、規制されていない注文などのさまざまな種類を処理します。
ノート：
すべての企業が契約の種類になる注文を検討するものもあります。 SIDモデルの観点からは、契約と協定の関係と協定の関係と協定関係によって注文を形式化することができます。この哲学は、2つの異なる概念を明確に分けるという利点を持っています：注文に関連する法的形式からの順序。たとえば、複数の注文は同じ契約を参照することがあります。",Customer Domain,1,3.Customer Domain
3.Customer Service Level Agreement ABE,Customer Service Level Agreement ABE,顧客SLA ABEは、契約の関与当事者が顧客であるサービスレベル契約ABEの特別なケースです。詳細については、従事者ドメインの契約ABEを参照してください。,Customer Domain,1,3.Customer Domain
3.Customer Statistic ABE,Customer Statistic ABE,顧客の統計的ABEは、顧客使用パターン、顧客の収益性統計、およびチャーンおよび保存統計の分析を表しています。,Customer Domain,1,3.Customer Domain
2.Product Domain,Product Domain,"製品ドメインは、締約国（例えば、個人/組織）によって行われた役割、情報および活動を表しています。活動には、製品の管理が含まれます。戦略、機能、ライフサイクル、製品、インスタンス、パフォーマンス、契約事業、使用統計、および企業によって顧客が顧客に提供される商品およびサービスの支援（製品）。
 なお、製品は2つのケースをカバーしています。
 SIDモデルの「製品」を見て、モデラーはETOMの製品の概念とメンバー会社の提供と実装を見ました。検討された重要な概念は、製品の詳細仕様（製品専用）でした。彼らが市場に提供されている方法（Productofferings）そして使用中にそれらが維持され実行される方法（製品）。 SIDモデルは、ビジネス指向のビューから製品エンティティを反映し、この分野に最適な標準モデリングパターンを使用します。",Product Domain,0,top
2.Loyalty ABE,Loyalty ABE,"ロイヤルティプログラムは、顧客を維持するためにロイヤルティプロセスによって使用されるツールの1つです。
ロイヤルティABEには、ロイヤルティプログラムを指定してインスタンス化するのに役立つすべてのエンティティが含まれています。
LoyaltyProgramProdSpecは、適用されるアクションを識別するためにチェックされなければならないロイヤルティレールを定義します。
ロイヤルティレールの種類に応じて、利益を集める必要があるかどうか。
ロイヤルティプログラムProductは、製品コンポーネントの一種であり、LoyaltyProgramProdSpecによって説明されています。",Product Domain,1,2.Product Domain
2.Loyalty Program ABE,Loyalty Program ABE,ロイヤルティプログラムABEには、ロイヤルティプログラムやロイヤリティカードなどの特定の顧客のためのロイヤルティプログラムをインスタンス化するために必要なすべてのエンティティが含まれています。,Product Domain,2,2.Loyalty ABE
2.Loyalty Program Specification ABE,Loyalty Program Specification ABE,ロイヤルティプログラム仕様ABEには、ロイヤルティプログラムProdSpecやLyyaltyRuleなどのロイヤルティプログラムを指定するすべてのエンティティが含まれています。,Product Domain,2,2.Loyalty ABE
2.Product ABE,Product ABE,顧客、使用中の場所、および割り当てられた電話番号やインターネットアドレスなどの構成特性など、製品の提供または仕様の製品在庫の製品インベントリのインスタンスを表します。製品ABEはまた、製品が実現されるサービスおよび/またはリソースを追跡する。,Product Domain,1,2.Product Domain
2.Example Product Entities ABE,Example Product Entities ABE,サンプル製品エンティティABEには、使用可能な製品サブクラスの例が含まれています。,Product Domain,2,2.Product ABE
2.Network Product ABE,Network Product ABE,ネットワーク製品ABEには、ネットワーク製品の説明と関係が含まれています。,Product Domain,2,2.Product ABE
2.Product Price ABE,Product Price ABE,製品価格ABEには、製品に適用されるすべての価格が記載されています。,Product Domain,2,2.Product ABE
2.Usage Volume Product ABE,Usage Volume Product ABE,使用量製品ABEには、UsageVolumeProductとこの種類の製品に固有のすべてのエンティティが含まれています。,Product Domain,2,2.Product ABE
2.Product Capacity ABE,Product Capacity ABE,長期間にわたって数量の量および単位で測定された製品ドメインエンティティの特定の能力。,Product Domain,1,2.Product Domain
2.Product Configuration ABE,Product Configuration ABE,製品の運用または機能の観点から、特性の特徴と関連資源（S）、ServicesPECの観点から機能し、特性と関連性の観点から機能する方法の表現の定義リソース、製品、サービス。,Product Domain,1,2.Product Domain
2.Product Action ABE,Product Action ABE,Product Action ABEには、製品特定、ProductOfferings、およびProductConfigSpecの可能なアクションを記述するビジネスエンティティが含まれています。,Product Domain,2,2.Product Configuration ABE
2.Product Offering ABE,Product Offering ABE,ABEを提供する製品は、製品カタログの形で市場に特定の価格で利用可能にされた有形で無形の商品を説明しています。このABEはまた、適切な市場戦略に基づいて市場セグメントをターゲットにする責任を負います。,Product Domain,1,2.Product Domain
2.Pricing Logic Algorithm ABE,Pricing Logic Algorithm ABE,価格化論理アルゴリズムABEは、イン​​タフェース仕様のインスタンス化を表すエンティティを、外部格付け関数（SIDのモデル化されたバラバオードなし）を含む。,Product Domain,2,2.Product Offering ABE
2.PLA Spec ABE,PLA Spec ABE,PLA SPEC ABEは、価格設定論理アルゴリズムを指定します。,Product Domain,3,2.Pricing Logic Algorithm ABE
2.Product Catalog ABE,Product Catalog ABE,製品カタログABEは、ProductOfferingsとその関連する製品の専用宣益を含むそれらによって記述された製品カタログとカタログの仕様を表すエンティティの集まりです。,Product Domain,2,2.Product Offering ABE
2.Product Offering Price ABE,Product Offering Price ABE,Product Price Abeを提供する製品は、製品専門枠に関連するすべての価格について説明しています。,Product Domain,2,2.Product Offering ABE
2.Product Offering Price Rule ABE,Product Offering Price Rule ABE,商品提供価格規則ABEは、プロダクト事業に関する価格に関連するすべての規則を記載しています。,Product Domain,2,2.Product Offering ABE
2.Product Offering Price Tax ABE,Product Offering Price Tax ABE,価格税ABEを提供する製品は、ProductOfFeringPriceとProductPriceの文脈で課税がどのようにモデル化されるかについて説明しています。モデルは次の側面をカバーしています。•納税事項と税申請 - これらは、計算に関する特定の状況の影響を含め、税がどのように計算されるかを指定します。 ProductOfferingのために追加されました•TaxProdPricaltation  - これは、実際に購入され、パーティーに配信された製品に対してどの税が追加されるかを表す製品プリツェへの変更です。税額は、最終的にInpontationCustomerBillingTaxRate（または従事者の党モデルに従ってAppliedPartyBillingTaxRate）として請求書に表されます。,Product Domain,2,2.Product Offering ABE
2.Product Placement ABE,Product Placement ABE,製品の配置ABEは、ダイレクトメールを介して、製品専門管理がどのように販売されるかについて説明します。プロダクトプレスタンスには、市場の侵入、製品戦略などのようなものを記述する定性的声明、または評価が含まれています。,Product Domain,2,2.Product Offering ABE
2.Product Promotion ABE,Product Promotion ABE,製品推進ABEは、締約国を購入、家賃、または他の方法で調達することを奨励するための製品上限の出版を説明しています。,Product Domain,2,2.Product Offering ABE
2.Product Specification ABE,Product Specification ABE,製品仕様ABEには、ビジネスユーザーによって認識されている製品仕様を表すものがすべて含まれており、マーケティングオペレータが機能レベルレベルで販売したい（すなわち、使用可能な容量は何ですか...）。,Product Domain,1,2.Product Domain
2.Example Product Specification Entities ABE,Example Product Specification Entities ABE,サンプル製品仕様エンティティABEには、使用可能な製品設定サブクラスの例が含まれています。,Product Domain,2,2.Product Specification ABE
2.Goods and Shipping Product Spec ABE,Goods and Shipping Product Spec ABE,商品・出荷商品スペックABEは、商品と輸送製品仕様とその関係の特異性を説明しています。,Product Domain,2,2.Product Specification ABE
2.Network Product Spec ABE,Network Product Spec ABE,ネットワーク製品SPEC ABEには、NetworkProductspecの説明と関係が含まれています。,Product Domain,2,2.Product Specification ABE
2.Usage Volume Product Spec ABE,Usage Volume Product Spec ABE,使用量製品仕様ABEには、UsageVolumeProductspecとこの種の製品に固有のすべてのエンティティが含まれています。,Product Domain,2,2.Product Specification ABE
2.Product Test ABE,Product Test ABE,製品テストは、試験中の製品の機能を反映する対策をもたらす製品に対して行われる機能です。,Product Domain,1,2.Product Domain
2.Product Usage ABE,Product Usage ABE,顧客の請求書に表示される可能性がある顧客に関連する顧客に関連する製品の使用を表します。,Product Domain,1,2.Product Domain
2.Product Usage Spec ABE,Product Usage Spec ABE,製品使用スペックABEは、製品専用の使用法の種類を指定します。,Product Domain,2,2.Product Usage ABE
4.Service Domain,Service Domain,サービスドメインは、当事者（例えば、個人/組織）によって実行された役割、情報、および活動を表しています。活動には、管理、機能、ライフサイクル、カタログ、在庫、設置、活性化、問題、パフォーマンス、ガイド、調停、使用統計、および顧客と資源の直面しているサービスの支援とサポートが含まれます。企業によるリソース。,Service Domain,0,top
4.Service ABE,Service ABE,サービスABEには、顧客向けとリソース面の両方のサービスの種類を表すために使用されるエンティティが含まれています。このABEのエンティティは、あらゆる型のサービスを検討、分析、設定、監視および修復するためのさまざまなビューを提供します。このABEのエンティティはサービス仕様エンティティから派生しています。,Service Domain,1,4.Service Domain
4.Customer Facing Service ABE,Customer Facing Service ABE,顧客向けサービスABEは、組織のインフラストラクチャ内の製品の実現を表す特定のCustomerFaceServiceの特性を定義しています。対照的に、リソースが直面しているサービスABEは、CustomerFacingServiceの一部に直面しているネットワーク/インフラストラクチャをサポートする特定のResourceFacingServiceの特性を定義する抽象化です。 ResourceFacingServicesは、CustomerFacingServiceをサポートするために必要な「内部」サービスです。このABEのエンティティは、すべてのタイプのカスタムフェイスサービスを調べ、分析、設定、監視、修復するためのさまざまなビューを提供します。このABEのエンティティは、カスタマーサービス仕様エンティティから派生しています。,Service Domain,2,4.Service ABE
4.Customer Facing Service Example ABE,Customer Facing Service Example ABE,顧客向けサービスの例ABEには、カスタマファイクスサービスエンティティの例が含まれています。,Service Domain,3,4.Customer Facing Service ABE
4.CustomerFacing Service Role ABE,CustomerFacing Service Role ABE,顧客向けサービス役割ABEは、このタイプのサービスが再生する役割の観点から、CustomerFacingServiceの可変特性を表すために使用されるCustomerServiceRolesを定義しています。,Service Domain,3,4.Customer Facing Service ABE
4.Resource Facing Service ABE,Resource Facing Service ABE,サービスABEには、CustomerFacingServicesとResourceFacingServicesという2つの基本的に異なる種類のサービスを表すために使用されるエンティティが含まれています。 CustomerFacingServiceは、組織のインフラストラクチャ内の製品の実現を表す特定のサービスの特性を定義します。対照的に、ResourceFacingServiceは、サービスのネットワーク/インフラストラクチャをサポートする特定のサービスの特性を定義する抽象化です。たとえば、VPNはCustomerFacingServiceの一例であり、VPNを構成するネットワークデバイス間で異なる種類のルーティングを実行するサブサービスはResourceFacingServicesの例である。 ResourceFacingServicesは、CustomerFacingServiceをサポートするために必要な「内部」サービスです。このABEのエンティティは、あらゆる型のサービスを検討、分析、設定、監視および修復するためのさまざまなビューを提供します。このABEのエンティティはサービス仕様エンティティから派生しています。,Service Domain,2,4.Service ABE
4.Resource Facing Service Examples ABE,Resource Facing Service Examples ABE,リソース直面サービスの例ABEには、ResourceFacingServicesの例が含まれています。,Service Domain,3,4.Resource Facing Service ABE
4.Resource Facing Service Role ABE,Resource Facing Service Role ABE,リソースが直面するサービスロールABEは、このタイプのサービスが再生する役割の観点から、ResourceFacingServiceの変数特性を表すために使用される担当者を定義しています。,Service Domain,3,4.Resource Facing Service ABE
4.Service Capacity ABE,Service Capacity ABE,長期間にわたって数量の量と単位で測定されたサービスドメインエンティティの特定の機能。,Service Domain,1,4.Service Domain
4.Service Configuration ABE,Service Configuration ABE,"サービスが特性の特徴と関連資源（S）およびサービススペックの観点から機能する方法の定義、ならびに製品が特性および関連リソースに関してどのように機能するかまたは機能の表現の表現の定義。サービス（S）
詳細については、共通ドメインのConfiguration＆Profiling ABEを参照してください。",Service Domain,1,4.Service Domain
4.Service Order ABE,Service Order ABE,サービス指図ABEは、顧客注文の製品を実現するサービスオーダーに関連するサービスに分解する要求の種類を表すエンティティを含む。,Service Domain,1,4.Service Domain
4.Service Party Roles ABE,Service Party Roles ABE,サービスパーティの役割ABEは、ServiceManagerなどのサービスドメインに関連するすべてのパーティロールを含みます。,Service Domain,1,4.Service Domain
4.Service Performance ABE,Service Performance ABE,サービスパフォーマンスABEは、さまざまなパフォーマンス統計やその他の顧客とリソースに直面しているサービスエンティティの操作特性を収縮し、統合し、および検証します。それはパフォーマンスを監視および報告できるエンティティのセットを提供します。これらの各エンティティは、計画された目標に対するネットワーク性能評価も行い、誤り率を含む傾向分析のさまざまな側面を実行し、解析とサービスの劣化をもたらします。このABEのエンティティはまた、サービスによって生成されたトラフィック、およびトラフィックトレンド分析を管理します。これは、特定のサービスのデータ、制御および管理機能を分離する新しい技術にとって重要です。,Service Domain,1,4.Service Domain
4.Service Level Spec ABE,Service Level Spec ABE,サービス仕様ABEには、両方の種類のサービスエンティティの不変特性と動作を定義するエンティティが含まれています。これにより、複数のインスタンスを単一の仕様エンティティから派生させることができます。この派生では、各インスタンスは、その関連テンプレートで定義されている不変特性と動作を使用します。このABEには、ServiceLevelspecificationの3番目のタイプのサービス仕様エンティティが含まれています。この種の仕様は、サービスレベル契約に拘束されているサービスをテンプル化します。,Service Domain,2,4.Service Performance ABE
4.Service Performance Specification ABE,Service Performance Specification ABE,サービスパフォーマンス仕様ABEは、サービスが機能している方法の尺度を定義しています。,Service Domain,2,4.Service Performance ABE
4.Service Problem ABE,Service Problem ABE,サービス問題ABEは、サービスポイントビューから障害、アラーム、および停止を管理します。これは、原因が物理的または論理的であるかどうかにかかわらず、トラブルチケットと相関しています。このABEの他のエンティティは、これら3種類の問題のそれぞれからの回復を指示するために使用されます。それらは、リソースの障害とアラームをそれらのリソース上で実行されるサービスの劣化と停止に関連付ける機能を提供します。これらの機能は、サービスの構築に使用されるリソースとテクノロジとは無関係です。このABEの3番目のエンティティのセットは、顧客報告の問題とネットワークによる問題を区別するために使用されます。,Service Domain,1,4.Service Domain
4.Service Specification ABE,Service Specification ABE,サービス仕様ABEには、両方のタイプのサービスエンティティの共有特性を定義するエンティティが含まれています。これにより、複数のインスタンスを単一の仕様エンティティから派生させることができます。この派生では、各インスタンスはそれに関連する仕様で定義されている特性を使用します。このABEのエンティティは、標準への遵守、サービスの特徴、依存関係（身体的および論理的、そして他のサービスの両方）、品質、そして費用を区別します。一般に、このABEのエンティティは、サービスを製品にバインドしてリソースを使用して実行することを可能にします。ネットワークサービスは、構築することができるサービスの一例です。追加の例には、インストール、メンテナンス、監視、およびコンテンツ認証、承認、会計、および監査機能が含まれます。,Service Domain,1,4.Service Domain
4.Customer Facing Service Spec ABE,Customer Facing Service Spec ABE,顧客向けサービス仕様ABEは、一連のカスタマーフェイスサービスの共通特性を定義しています。このスケールは、複数のCustomerFaceServicesPECを定義して、さまざまなグループのCustomerFacingServicesの一般的な特性をモデル化することを可能にします。,Service Domain,2,4.Service Specification ABE
4.Customer Facing Service Spec Examples ABE,Customer Facing Service Spec Examples ABE,顧客向けサービス仕様の例ABEには、CustomerFaceServicespecsのサブクラスの例が含まれています。,Service Domain,3,4.Customer Facing Service Spec ABE
4.Customer Facing Service Spec Role ABE,Customer Facing Service Spec Role ABE,CustomerFacingServiceのServicePecificationRoolesのセットで、サービススペックの役割の顧客は、ServicePecificationRoolesのセットの観点から、サービススペックを定義しています。 CustomerFacingServiceの共有特性を表すために使用されます。これにより、CustomerFacingServiceをServicePecificationRollesを使用して抽象的に管理することができます。それはまた、それが提供または提供する関数に関してカスタマーフェイスサービスを定義するのにも役立ちます。,Service Domain,3,4.Customer Facing Service Spec ABE
4.Service Package ABE,Service Package ABE,Service Package ABEは、1つ以上の製品専用で指定された機能を満たすために、さまざまなCustomerFacingServicespecsのセットをバンドルするという概念を定義します。これにより、これらのCustomerFaceServicesの共有特性を指定することができ、その結果、複数の製品を関連製品の設定から構築できます。,Service Domain,3,4.Customer Facing Service Spec ABE
4.Service Package Spec Examples ABE,Service Package Spec Examples ABE,サービスパッケージのスペック例ABEには、ServicePackagesPecsのサブクラスのサブクラスが含まれています。,Service Domain,4,4.Service Package ABE
4.Resource Facing Service Spec ABE,Resource Facing Service Spec ABE,サービススペックABEが直面しているリソースは、一連のResourceFaceServicesの共通特性を定義します。このスケールでは、ResourceFacingServicesのさまざまなグループの一般的な特性をモデル化するために複数のResourceFacingServicesPECを定義できるようにします。,Service Domain,2,4.Service Specification ABE
4.Resource Facing Service Spec Role ABE,Resource Facing Service Spec Role ABE,サービススペックロールのリソースABEは、ResourceFacingServiceのServicePecificationRoolesのセットに関して、サービススペック化を定義します。 ResourceFacingServiceの共有特性を表すために使用されます。これにより、ResourceFacingServiceをServicePecificationRollesを使用して抽象的に管理することができます。また、それが持つか提供する関数の観点から、ResourceFacingServices専門家を定義するのにも役立ちます。,Service Domain,3,4.Resource Facing Service Spec ABE
4.Service Bundle ABE,Service Bundle ABE,サービスバンドルABEは、ResourceFaceServices専門家のコレクションです。これにより、さまざまなセットのResourceFaceServicesPecificationsをグループ化する必要があるため、「バンドル」という名前の名前をグループ化できます。これらはResourFaceSpecificationsですので、特定のCustomerFacingService（ServicePackageによって表されるように）が必要とされるResourceFacingServicesを実装するための再利用可能なテンプレートを定義します。,Service Domain,3,4.Resource Facing Service Spec ABE
4.Service Bundle Examples ABE,Service Bundle Examples ABE,サービスバンドルの例ABEには、ServiceBundlespecのサブクラスの例が含まれています。,Service Domain,4,4.Service Bundle ABE
4.Service Catalog ABE,Service Catalog ABE,サービススペックを含むServiceCatalogsとカタログの仕様を表すエンティティのコレクション。,Service Domain,2,4.Service Specification ABE
4.Service Strategy & Plan ABE,Service Strategy & Plan ABE,サービス戦略と計画ABEには、企業による拡張型または新しいサービスの必要性、および既存のサービスの退職の必要性に取り組むために使用されるエンティティが含まれています。これらのエンティティは、リソースドメインと製品ドメイン内の両方のエンティティに強い依存関係を持ちます。サービスの需要予測と同様に、サービスを利用するために使用するリソースを決定するなどの努力も、サービス需要予測と同様にサポートされています。,Service Domain,1,4.Service Domain
4.Service Test ABE,Service Test ABE,サービステストは、テスト中のエンティティの機能を反映した対策をもたらすサービスに対して実行される機能です。,Service Domain,1,4.Service Domain
4.Service Usage ABE,Service Usage ABE,"サービス使用量ABEは、サービス消費データを収集し、他の事業体で使用するためのサービス利用記録を生成します。このABEのエンティティは、物理的、論理的、およびネットワークの使用状況情報を提供します。
詳しくは、共通ドメインの使用法を参照してください。",Service Domain,1,4.Service Domain
4.TIP Service Management ABE,TIP Service Management ABE,TMFインタフェースプログラムは、このABEにおけるSIDサービスモデルへの拡張に基づくマルチテクノロジーオペレーティングシステムインタフェース（MTOSI）2.0で導入されました。結果の解決策セットは、2つの新しいサービス管理アクティベーションインターフェイスとサービスインベントリインタフェースを導入しました。,Service Domain,1,4.Service Domain
5.Resource Domain,Resource Domain,リソースドメインは、締約国（個人/組織など）によって実行された役割、情報、および活動を表します（例：機能、アプリケーション、コンピューティング、ネットワーキング、ストレージなど）、サービスを実現するために使用される企業のインフラストラクチャを表します。アクティビティには、戦略、機能、ライフサイクル、カタログ、インベントリ、トポロジ、インストール、アクティベーション、アラーム、問題、パフォーマンス、調停、使用状況統計、および企業によって管理されているリソースのサポートが含まれます。リソースドメインは、他の情報モデルからの採掘情報を含む情報モデルのリソース部分のビューを提供する。 SIDはITU-T、IETF、ONF、MEF、DMTFの作業から描画します。このモデルは、フィットする他のリソース（サブ）モデルの基盤として機能するという表現の目的で構築されています。,Resource Domain,0,top
5.Resource ABE,Resource ABE,リソースABEには、リソースのさまざまな側面を表すために使用されるエンティティが含まれています。これには、リソースの物理的および論理的側面を表す4組のエンティティが含まれます。そのようなリソースを、物理的および論理的特性および動作を持つ集約エンティティにどのように集約するかを示します。ネットワーク、サブネットワーク、ネットワークコンポーネント、およびネットワークの他の関連した側面を表現する方法を示します。,Resource Domain,1,5.Resource Domain
5.Compound Resource ABE,Compound Resource ABE,複合資源ABEは、ComponeResourceのさまざまな側面を表すために使用されるエンティティを含む。 ComponeResourceは、物理的な特性と論理的特性と行動を持つ集計エンティティに、物理リソースとLogicalResourcesを集約したエンティティに集約する方法を示す一連のエンティティです。,Resource Domain,2,5.Resource ABE
5.Logical Resource ABE,Logical Resource ABE,論理リソースABEには、LogicalResourceのさまざまな側面を表すために使用されるエンティティが含まれています。,Resource Domain,2,5.Resource ABE
5.Address ABE,Address ABE,,Resource Domain,3,5.Logical Resource ABE
5.Computing and Software ABE,Computing and Software ABE,,Resource Domain,3,5.Logical Resource ABE
5.Software Resource and Software ABE,Software Resource and Software ABE,,Resource Domain,4,5.Computing and Software ABE
5.Converged Network ABE,Converged Network ABE,,Resource Domain,3,5.Logical Resource ABE
